Date;Indonesian rupiah (IDR)
30-09-2015;16320100.0
30-10-2015;15635913.62
30-11-2015;14691385.15
31-12-2015;14612100.0
29-01-2016;15315042.31
29-02-2016;16513081.49
31-03-2016;16402620.0
29-04-2016;16955150.91
31-05-2016;16557284.0
30-06-2016;17450409.38
29-07-2016;17578187.0
31-08-2016;17367201.25
30-09-2016;17259947.5
31-10-2016;16597056.0
30-11-2016;15966198.26
30-12-2016;15438136.43
31-01-2017;16193909.39
28-02-2017;16744679.65
31-03-2017;16588246.72
28-04-2017;16880511.4
31-05-2017;16865783.35
30-06-2017;16556086.88
31-07-2017;16888833.6
31-08-2017;17501368.5
29-09-2017;17282071.93
31-10-2017;17226408.05
30-11-2017;17315984.54
29-12-2017;17515642.5
31-01-2018;18008199.31
28-02-2018;18118458.71
30-03-2018;18226102.86
30-04-2018;18269894.32
31-05-2018;18137836.21
29-06-2018;17918947.8
31-07-2018;17606098.3
31-08-2018;17712087.78
28-09-2018;17691805.88
31-10-2018;18470276.63
30-11-2018;17414006.08
31-12-2018;18392020.0
31-01-2019;18489110.63
28-02-2019;18557141.25
29-03-2019;18446494.61
30-04-2019;18272772.22
31-05-2019;18490734.59
28-06-2019;19905647.5
31-07-2019;20009965.61
30-08-2019;21680352.61
30-09-2019;21083830.73
31-10-2019;21209204.46
29-11-2019;20595414.37
31-12-2019;21028516.88
31-01-2020;21632250.33
28-02-2020;23097324.28
31-03-2020;26241973.7
30-04-2020;25328406.25
29-05-2020;25256306.29
30-06-2020;25257309.9
31-07-2020;28687538.57
31-08-2020;28503910.8
30-09-2020;28077070.55
30-10-2020;27522057.68
30-11-2020;24887206.69
31-12-2020;26520781.37
29-01-2021;26149114.69
26-02-2021;24818185.39
31-03-2021;24562501.96
30-04-2021;25533702.84
31-05-2021;27131285.3
30-06-2021;25565673.58
30-07-2021;26404909.38
31-08-2021;25884299.52
30-09-2021;24943825.7
29-10-2021;25064431.24
30-11-2021;25843517.6
31-12-2021;25737878.52
31-01-2022;25819285.5
28-02-2022;27438816.35
